,lag,corr_1,corr_2
0,2.0,0.9307043242173053,0.9393986106062829
1,3.0,0.9262913105375571,0.077432300537402
2,4.0,0.9190638504119811,0.9661415179770163
3,5.0,0.910174123172296,-0.18471706926746598
4,6.0,0.8970162637014051,0.9564209080582166
5,7.0,0.8762733844434665,0.9858749783196881
6,8.0,0.838502000352074,0.9907477013888248
7,9.0,0.7566271796480194,-0.47668516145107015
8,10.0,0.6244342702533131,0.9997952609832875
9,11.0,0.48442714991501823,0.9957801124025004
10,12.0,0.6216114196996408,0.912742303377732
11,13.0,0.6171192353024293,0.9941359370282227
12,14.0,0.6124125250894527,0.9999142959223062
13,15.0,0.6090429246404885,-0.9928094274959436
14,16.0,0.6069372762414156,0.9994193665448233
15,17.0,0.6055015183679047,-0.5330706309388572
16,18.0,0.6046999995912351,0.9991289533483602
17,19.0,0.6062545262946386,0.9999998218228615
18,20.0,0.6123908082037998,0.9999468759518578
19,21.0,0.6266452972043164,0.9998770316951571
20,22.0,0.42145210050792914,0.9996219225285232
21,23.0,0.8603376397640737,-1.0
22,24.0,0.8706068542252725,0.9999999999999999
